video_id,comment,sentiment,negative_words,positive_words,neutral_words
b-oSQs68khQ,banter sarah lucas add video,positive,"[': banter', 'video']","['banter', 'video']","['sarah', 'lucas', 'add']"
zTDsYzsJdt4,italian use big jug vegetable oil instead olive oil lost,negative,['lost'],[': lost'],"['italian', 'use', 'big', 'jug', 'vegetable oil', 'instead', 'olive oil']"
tGxfSiJFMZ4,video refreshing woman walk walk talk talk,neutral,['none'],"['refreshing', 'woman']","['video', 'walk', 'talk']"
-lzUbxQSj1g,primer comentario,neutral,['none'],['primer (first)'],['comentario (comment)']
h5k01B_M87c,worked similar position it’s easy strong 😭♥️,neutral,['😭'],"['easy', 'strong', '♥️']","['worked', 'similar', 'position', ""it's""]"
9105Erhd8iL,guy could seriously use hand,negative,"['seriously', 'use']","[': seriously', 'use']","['guy', 'hand']"
gAzp8NDdk9Q,place including hot dog street stand cashless im travelling ireland changing u dollar always hassle change back losing money exchange process rather pay everything card,negative,"['hassle', 'losing', 'money', 'exchange']","[': hassle', 'losing', 'money', 'exchange']","['place', 'hot dog', 'street stand', 'cashless', 'traveling', 'ireland', 'changing', 'dollar', 'pay', 'everything', 'card']"
53XrCUjAFaV,tripa callos basically omg im salivating,neutral,['none'],"['tripas', 'omg', 'salivating']","['callos', 'basically']"
moTygqUa12s,never forget god hasn’t forgotten let in❤please don’t say lord’s vain please don’t put video,neutral,[''],[''],['']
Zq7p6RGSbWo,please try inn little washington,neutral,['none'],"['please', 'try']","['inn', 'little', 'washington']"
ArpqsTT5QMG,good vid,positive,"[': good', 'vid']","['good', 'vid']","['s: good', 'vid']"
fwTFdi9-2ak,อาหารคือศิลปะความอร่อยทำให้มีความสุข❤,neutral,[''],[''],['']
Z9P9uD6SET2,south american style robbery definitely migrant smh,negative,"['robbery', 'migrant', 'smh (shaking my head)']","[': robbery', 'migrant', 'smh (shaking my head)']",['south american style']
sz0jSs3nMcY,honestly think dude stupid hell participating video illegal unregulated alcoholic drink production sale tax evasion,negative,[''],[':'],['']
4ScZGi7m5xh,guess torch passed greek owning diner everyone else it’s huge undertaking run successful diner level,neutral,['none'],"['passed', 'successful']","['guess', 'torch', 'greek', 'owning', 'diner', 'everyone', 'else', ""it's"", 'huge', 'undertaking', 'run', 'level']"
db9dzEaIWqn,good afternoon contact organize food festival new york,neutral,['none'],"['good', 'festival']","['afternoon', 'contact', 'organize', 'food', 'new york']"
PVzSKFIY5z0,i’ve combo platter many time explosion popular tastier flavor busssin halal guy skip halal guy,neutral,[''],[''],['']
zTDsYzsJdt4,thats great vote want,neutral,['none'],['great'],"[""that's"", 'vote', 'want']"
FOvnk7-u7zw,wow didnt spill 💧,positive,[': wow'],['wow'],['spill']
piqdh62jMx7,there something guy food philosophy,neutral,['something'],['philosophy'],"['there', 'guy', 'food']"
mcRqSQnZfi3,giving challenge comment council far beyond limited understanding lord cthulhu,negative,"['challenge', 'limited', 'understanding']","['ve words: challenge', 'limited', 'understanding']","['giving', 'comment', 'council', 'far beyond', 'lord cthulhu']"
AbwxmBA6izw,crab pizza want know 🤤🤤,neutral,['none'],"['want', 'know']","['crab', 'pizza']"
EBRpDqaOU5T,thats great vote want,neutral,['none'],['great'],"[""that's"", 'vote', 'want']"
9105Erhd8iL,banter sarah lucas add video,positive,"[': banter', 'video']","['banter', 'video']","['sarah', 'lucas', 'add']"
XtzXOgTFZJH,nice❤❤❤❤❤❤❤❤❤ form azerbaijan ay love america ❤❤❤,neutral,['none'],"['nice', 'love', 'america']","['form', 'azerbaijan']"
G2W3xT8jq20,jesse keeping weight control crazy foodie content😂,neutral,[''],[''],['']
u2QVGeJg0xb,anh đức phúc hát hay quá 😍😍❤❤,neutral,['**'],['**'],['**']
6DiUc99OChR,iam know iam year late wanna ask wats name restaurant,neutral,['none'],"['know', 'restaurant']","['year', 'late', 'ask', 'wats', 'name']"
2pbPOjBC4r1,hrefhttpswwwyoutubecomwatchvghtntiotta thats deal plate different sauce fully awesome p know sometimes street food big city always seems better seat imo,neutral,['none'],"['awesome', 'better']","['thats', 'deal', 'plate', 'different', 'sauce', 'fully', 'p', 'know', 'sometimes', 'street food', 'big city', 'always', 'seems', 'seat', 'imo']"
PVzSKFIY5z0,movement people,neutral,['none'],['movement'],['people']
cjqAySlZmwd,it’s july w,neutral,[''],[''],['']
h5k01B_M87c,watching hearing unfortunate news chef’s passing😢 inspiration may rest peace,neutral,"['unfortunate', 'passing', '😢 (crying emoji)']","['inspiration', 'peace', 'rest']","['watching', 'hearing', ""chef's"", 'may']"
2OozXYnyC9S,think fell love mark iacono,neutral,['n/a'],['love'],"['think', 'fell', 'mark iacono']"
d4AIreaQhH7,nah aint wanna eddie huang try hard,negative,[''],[':'],['']
3LplSsyEOf1,that’s sandwich 😍😍,neutral,['none'],"['sandwich', '😍😍']","[""that's""]"
5jcthm6b9RR,climate nut’s shut wood fired oven,negative,"['nut', 'shut']","[': nut', 'shut']","['climate', 'wood fired oven']"
4mJrayOzO8A,ျမန္မာအစားအစာေတြ ဂုဏ္ယူစရာေကာင္းလိုက္ပါဘိ,neutral,['ဂုဏ္ယူစရာေကာင္းလိုက္ပါဘိ (bad)'],"['ျမန္မာ (burmese)', 'အစား (delicious)']","['အစာ (food)', 'ေတြ (plural marker)']"
PgIevtb_Pmo,condemned scorpion pharmacodynamically drip east physiologically beam worth sparkling string workable late biplane,neutral,['condemned'],"['worth', 'sparkling', 'workable']","['scorpion', 'pharmacodynamically', 'drip', 'east', 'physiologically', 'beam', 'string', 'late', 'biplane']"
2Z8a4HwCmEc,halal guy rd sooooooo good brobrthat decline crazy best halal truck bx queen hand,positive,"[': good', 'crazy', 'best', 'hand']","['good', 'crazy', 'best', 'hand']","['halal', 'guy', 'rd', 'decline', 'halal truck', 'bx', 'queen']"
BnydbAWvlbv,literally one eat dollar one slice pizza dollar coffee aint count eat rightbrso click bait,neutral,"['eat', 'right', 'click bait']",['none'],"['literally', 'one', 'dollar', 'slice', 'pizza', 'coffee', 'count']"
prgM7NR_M7o,doesnt get indonesian bedak mbk,negative,"[""doesn't"", 'get']","["": doesn't"", 'get']","['indonesian', 'bedak', 'mbk']"
3LplSsyEOf1,le voy la chivas pero da gusto ver una playera de los puma en nueva york vendiendo tortas que orgullo mexicano un día gustaría ir comerme una torta,neutral,[''],[''],['']
64R1w8BfxIU,america get salmon fromcanada norway,negative,[''],[':'],['']
qa7rHfulWlg,preparar café ussr esa chaqueta blanco e de valiente cualquiera puede hacerlo 😊,neutral,[''],[''],['']
YjFLFRczKtm,true egg cream us ubet chocolate syrup,neutral,['none'],"['true', 'chocolate']","['egg cream', 'us']"
NynG93vzaVg,thanks much pointing can’t grandma you’re asian please watch street food video without someone talking race millionth time it’s boring never used pay attention it’s anyone talk seems kind racist me…,negative,[''],[':'],['']
O4GJtxYLIHB,id like see series make cocktail maybe dude seems chill except smooth story cocktail alcoholic relative,neutral,['alcoholic'],"['chill', 'smooth', 'story']","['like', 'see', 'series', 'make', 'cocktail', 'maybe', 'dude', 'seems', 'relative']"
kSzN7q5doIR,im beginning suspect alexander actually michelin inspector,neutral,['suspect'],['actually'],"['beginning', 'alexander', 'michelin', 'inspector']"
LADRCoQieUX,new york crap hole 🕳 good,neutral,['crap hole'],['good'],['s: crap hole']
Ia82wJBKwTj,would really useful ease reference indicate address least general area nyc bar located,neutral,[''],[''],['e']
p0JdibMH_Ek,cool chef love calm earth seems treat staff respect,neutral,['n/a'],"['cool', 'chef', 'love', 'calm', 'earth', 'treat', 'staff', 'respect']",['seems']
jI-zsZwwv2Q,took bit figure exactly going level talked everyone bar hoping find im supposed gobrmeeting jock reporter first time searching answer definitely experience getting yelled manderly,neutral,['yelled'],"['find', 'experience']","['took', 'bit', 'figure', 'exactly', 'going', 'level', 'talked', 'everyone', 'bar', 'hoping', 'im', 'supposed', 'go', 'meeting', 'jock', 'reporter', 'first time', 'searching', 'answer', 'definitely', 'getting', 'manderly']"
8bA7U1PqyzN,heirnyc told last time akhis bro brother he saying free akhis like free bros,neutral,['none'],"['free', 'bros']","['heirnyc', 'told', 'last time', 'akhis', 'bro', 'brother', 'he', 'saying']"
FnxTgYsZc6v,last one look like sticky fly trap fly flying around,neutral,"['sticky', 'fly trap', 'flying']",['none'],"['last', 'one', 'look', 'like', 'around']"
tvqOq8BFzet,butiful 💕,neutral,['none'],['beautiful'],['none']
PzspTNR1tjo,🍔👍,neutral,[''],[''],['']
iNQx0BmUyQx,indian need wear hand glove rest world well got natural sanitizer thair hand😅,neutral,[''],[''],['']
64R1w8BfxIU,encanto el vídeo ✨,positive,[':'],[''],['']
mtd9xYi3lzl,guy washed lack consistency gon hurt buddy,negative,[''],[':'],['']
lxx8AmGHlu8,manhattan mexico wtf,negative,['wtf'],[': wtf'],"['manhattan', 'mexico']"
t7bj7sC9nEt,love life 🤤,positive,"[': love', 'life']","['love', 'life']",['🤤']
5jcthm6b9RR,shout carnal,neutral,['shout'],['carnal'],['s: shout']
g4o6TmLTpK9,yummy 😋 que❤ rico se miro todo,neutral,['none'],"['yummy', 'rico', 'miro']","['que', 'se', 'todo']"
nQphCd6Ji69,cafe lyria happened cold foam top that’s coffee tasted watery,negative,"['cold', 'watery']","[': cold', 'watery']","['cafe', 'lyria', 'happened', 'foam', 'top', 'coffee', 'tasted']"
cGZXczpLZCx,miss anthony,negative,['miss (could imply a sense of loss or absence)'],[': miss (could imply a sense of loss or absence)'],['anthony']
RvF2AP2mOnK,new favorite show eat thing,positive,"[': new', 'favorite', 'show']","['new', 'favorite', 'show']","['eat', 'thing']"
CCGkUnbeu0G,steadfast twig geometrically grease cowbell accordantly fire upbeat tooth racial understood license,negative,"['grease', 'racial']","[': grease', 'racial']","['steadfast', 'twig', 'geometrically', 'cowbell', 'accordantly', 'fire', 'upbeat', 'tooth', 'understood', 'license']"
OQTq5py7r0b,뉴옥의 카페를 느낄 수 있어서 너무 좋아요,positive,"[': 느낄 수 있어서', '좋아요']","['느낄 수 있어서', '좋아요']","['뉴옥의', '카페를', '너무']"
kvCaTrUPyH5,go car like hotel area much,positive,"[': like', 'much']","['like', 'much']","['go', 'car', 'hotel', 'area']"
r7OcsX4g0SU,enjoy watching video keep good work,neutral,['none'],"['enjoy', 'good', 'work']","['watching', 'video', 'keep']"
BVSIPYxE6kk,great list think halal guy point origination rd sixth le four cart corner flanked side copycat enjoy,positive,"[': great', 'enjoy']","['great', 'enjoy']","['list', 'think', 'halal', 'guy', 'point', 'origination', 'rd', 'sixth', 'le', 'four', 'cart', 'corner', 'flanked', 'side', 'copycat']"
mtd9xYi3lzl,blessing work people truely know craft job always appreciated part chef,positive,"[': blessing', 'work', 'people', 'truly', 'craft', 'job', 'appreciated', 'chef']","['blessing', 'work', 'people', 'truly', 'craft', 'job', 'appreciated', 'chef']",['part']
u2QVGeJg0xb,update shut as,neutral,['shut'],['n/a'],"['update', 'as']"
qa7rHfulWlg,dude dont make tip solving problem one bottle time,negative,[''],[':'],['']
h5k01B_M87c,check full episode herebra hrefhttpswwwyoutubecomwatchvtlntojxzwhttpsyoutubetlntojxzwa,neutral,[''],[''],['']
q7d8kqWmOC9,bar advised underground floor dont window right,negative,"['bar', 'underground', 'floor', 'window', 'right']","[': bar', 'underground', 'floor', 'window', 'right']","['advised', 'dont']"
ab7ELgNWBlc,comment least like,negative,['least'],[': least'],"['comment', 'like']"
svMLoy6qRGI,humongous 😂,neutral,[''],[''],['']
swkl2KhRxXq,hrefhttpswwwyoutubecomwatchvcjmriknznyta meeeeeeeee,neutral,['none'],['none'],['meeeeeeeee']
KDtEs2VlSvG,south american style robbery definitely migrant smh,negative,"['robbery', 'migrant', 'smh (shaking my head)']","[': robbery', 'migrant', 'smh (shaking my head)']",['south american style']
blVFaQFmLk2,big apple eaten again…,neutral,"['big', 'eaten']",['none'],"['apple', 'again']"
ZexWWLVD0cv,batman still hero especially nyc,positive,[': hero'],['hero'],"['batman', 'still', 'especially', 'nyc']"
MlnxvCZ35sa,basically northwestern chinese cuisine find dish chinese city long hui restaurant,neutral,['none'],"['chinese', 'cuisine', 'dish', 'restaurant']","['basically', 'northwestern', 'city', 'long', 'hui']"
reTVNnKsNmt,hrefhttpswwwyoutubecomwatchvewvphsmjcta imagine miserable person 😔,negative,['miserable 😔'],[': miserable 😔'],"['imagine', 'person']"
plOQeQ3Go2i,blessing work people truely know craft job always appreciated part chef,positive,"[': blessing', 'work', 'people', 'truly', 'craft', 'job', 'appreciated', 'chef']","['blessing', 'work', 'people', 'truly', 'craft', 'job', 'appreciated', 'chef']",['part']
zRmTDwt1d9r,dude love much background music love layton,neutral,['none'],"['love', 'much', 'love']","['dude', 'background music', 'layton']"
53XrCUjAFaV,beautiful delicious mouth watering pancake bread breakfast amazing,positive,"[': beautiful', 'delicious', 'mouth-watering', 'amazing']","['beautiful', 'delicious', 'mouth-watering', 'amazing']","['s: beautiful', 'delicious', 'mouth-watering', 'amazing']"
cwqAWEPx_24,need eat half lox half heirloom together time br🤌🏼🤯🤤🤑,positive,[':'],[''],['']
ODTt5Y9ySLc,good deal city dozen fried dumpling cad,neutral,['none'],"['good', 'deal', 'city', 'fried', 'dumpling']",['dozen']
JI3Qo5szsZc,totally worth it… michelin stars… i’d heartbeat,neutral,['none'],"['worth it', 'michelin stars', 'heartbeat']","['totally', ""i'd""]"
CMxSXTye7ZM,bumbu sooo good tho,positive,[':'],[''],['']
lMupUPDgNel,im going new york month day,neutral,['none'],['new'],"['going', 'york', 'month', 'day']"
G2W3xT8jq20,need eat restaurant,neutral,['need'],['none'],"['eat', 'restaurant']"
KDtEs2VlSvG,muy buen tema excelente video 🇺🇾,positive,[':'],[''],['']
blVFaQFmLk2,he’s one guy watch watch get annoyed personality many food traveler freaking annoying cause seems like they’re trying damn hard,neutral,[''],[''],['']
kcxgJT8Z3rA,luigis truth,neutral,['none'],['truth'],['luigis']
dup3cYz0HUm,rainbow cookie use color italian flag also cucina italian pronounced coocheenah fyi,positive,[':'],[''],['']
fye8dSuDzAE,covid visit nyv least,negative,['covid'],[': covid'],"['visit', 'nyv', 'least']"
kTu0qwyP3fy,cancer😂😂😂,neutral,['cancer'],['😂😂😂'],['s: cancer']
9Z78DZYWBBc,boop boop killed,negative,['killed'],[': killed'],['boop']
zXQcFdRZ6hU,tried prince st best pizza i’ve ever,positive,[':'],[''],['']
aaoLHwrDNJW,queen new york citybrbrqueen new york city queensbrbrmanhattan new york city queen,neutral,['none'],"['queen (as used as a proper noun)', 'new york city', 'manhattan']",['queens']
ORGuXvQiiLH,beautiful delicious mouth watering pancake bread breakfast amazing,positive,"[': beautiful', 'delicious', 'mouth-watering', 'amazing']","['beautiful', 'delicious', 'mouth-watering', 'amazing']","['s: beautiful', 'delicious', 'mouth-watering', 'amazing']"
KxbqMalEYG4,greeting moscow 🇷🇺 mount video put background wont boring work,neutral,['**'],['**'],['**']
o75QXXD80Mx,love seinfeld,neutral,['**'],['**'],['**']
n3gGQ1mStEU,part remembering lynja❤,neutral,['none'],"['remembering', '❤ (heart emoji)']",['part']
xW2bezD1wBy,sososo beautiful,positive,['ve words: beautiful'],['beautiful'],['ive words: beautiful']
OKBHEQohXUk,miss anthony,negative,['miss (could imply a sense of loss or absence)'],[': miss (could imply a sense of loss or absence)'],['anthony']
cGZXczpLZCx,video nice editing,neutral,['none'],"['nice', 'editing']",['video']
YVUn0Utu4ER,nothing food😅 brbrit also neglected fact chinatowns growing unapologetically without uncle xi jinping breathing well unless chinatown singapore still watch families’ neck go baijiu,neutral,[''],[''],['']
r2ioIL4RmPt,charming get lovely thank,positive,"[': charming', 'lovely', 'thank']","['charming', 'lovely', 'thank']",['get']
reTVNnKsNmt,fav type video 🤤🤤🤤,neutral,['none'],"['fav', 'video']",['type']
pCddEgU0R8E,cool love diner need breakfast spot close hotel msg tick tock diner,positive,"[': cool', 'love', 'breakfast', 'close', 'hotel', 'msg (short for message)']","['cool', 'love', 'breakfast', 'close', 'hotel', 'msg (short for message)']","['diner', 'spot', 'tick tock diner']"
Z9P9uD6SET2,look good 😋 🤤,positive,['ve words:'],[''],['']
75dFsWQs9bB,salut brc’est quoi la sauce verte sur le poulet,neutral,['none'],['salut (hello)'],"['brc’est', 'quoi', 'la', 'sauce', 'verte', 'sur', 'le', 'poulet']"
fwTFdi9-2ak,that’s sandwich 😍😍,neutral,['none'],"['sandwich', '😍😍']","[""that's""]"
mtd9xYi3lzl,im happy hear even people weaseling ahead line still able snag seat also great book choice,neutral,['weaseling'],"['happy', 'great', 'choice']","['hear', 'ahead', 'line', 'still', 'able', 'snag', 'seat', 'also', 'book']"
ZkJL87lJ870,giving challenge comment council far beyond limited understanding lord cthulhu,negative,"['challenge', 'limited', 'understanding']","['ve words: challenge', 'limited', 'understanding']","['giving', 'comment', 'council', 'far beyond', 'lord cthulhu']"
4jR9jVJA6Le,😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅,neutral,['😢'],['😅'],['😮']
GVOMzFmaHCf,star le food,positive,[':'],[''],['']
jbIyqa83GyR,thank ❤,positive,[':'],[''],['s:']
VmFai4ht6Ak,kaya mo yan support lang kami para sa mga bab bakeyt nila mga pamangkin ko na half filipino half mexican alyssa pure filipino nicole wag ng mag alay ng nakakatakot na alay yung pagkaen nlang mexican food maria guadalupe buti bumili ako ng guadalupe flower sabaley yun si bethany green hand nga santa nu deykeyt bakeyt ni david cook yung american idol si bethany green maysa ney david cook nga nag kolmegak ngameyn ni lucifer kasla maysa nga head esuna ad da para kararag na da dyay manager tey safeway supermarket store rocklin ni hector fuentes diba sir gageassistant manager safeway supermarket store rocklin california amen,neutral,"['nakakatakot (scary)', 'lucifer', 'kararag (reprimand)']","['support', 'kami (we)', 'nicole', 'guadalupe', 'flower', 'green', 'hand', 'american idol', 'david cook', 'safe', 'amen']","['kaya (able to)', 'mga (some)', 'bab (woman)', 'bakeyt', 'pamangkin (niece/nephew)', 'half', 'filipino', 'mexican', 'alyssa', 'wag (do not)', 'alay', 'pagkaen (food)', 'nlang (just)', 'food', 'maria', 'si (this)', 'buti (good)', 'bumili (bought)', 'yun (that)', 'si (this)', 'ni (of)', 'nga (that)', 'ney', 'nag (did)', 'kolmegak', 'ngameyn', 'ni (of)', 'kasla', 'maysa (one)', 'esuna', 'ad', 'da (the)', 'para (for)', 'dyay', 'manager', 'tey', 'store', 'rocklin', 'ni (of)', 'diba', 'sir', 'gageassistant', 'manager', 'safeway', 'supermarket', 'store', 'rocklin', 'california']"
Q4Rdi1q8L9Y,way approach stranger group cold sceptical first always turn biggest fan afterwards beautiful inspiring see everytime,neutral,"['cold', 'sceptical']","['beautiful', 'inspiring', 'fan', 'afterwards']","['way', 'approach', 'group', 'see', 'every time']"
pluVarje6TY,🤣🤣🤣 let see many people get killed raped robbed carjacked shot store get robbed it’s going shit show 🤣🤣🤣🤣,neutral,"['killed', 'raped', 'robbed', 'carjacked', 'shot', 'shit show']",['none'],"['many', 'people', 'store']"
mViVpyiyHwk,queen best pizza 🍕 pasta 🍝 esp napoli astoria,positive,[':'],[''],['']
Ia82wJBKwTj,informative helpful always❤,neutral,[''],[''],['']
oo8j2LDYGjg,climate nut’s shut wood fired oven,negative,"['nut', 'shut']","[': nut', 'shut']","['climate', 'wood fired oven']"
GdPsEe8dqDw,sadly late life episode madagascar sad depressing hit job hind sight extremely depressed,negative,"['sad', 'late', 'depressing', 'hit job', 'hind sight', 'extremely depressed']","[': sad', 'late', 'depressing', 'hit job', 'hind sight', 'extremely depressed']","['life', 'episode', 'madagascar']"
2OozXYnyC9S,it’s july w,neutral,[''],[''],['']
BcjkjiqCWuP,would fat lived near,negative,['fat'],[': fat'],"['would', 'lived', 'near']"
lRGcPJTi_I8,james channel aimed adult want eat place menu isnt wall,negative,"['aimed', ""isn't"", 'wall']","[': aimed', ""isn't"", 'wall']","['james', 'channel', 'adult', 'want', 'eat', 'place', 'menu']"
kSzN7q5doIR,chopped ingredient wow lucky,positive,"['ve words: wow', 'lucky']","['wow', 'lucky']","['ive words: wow', 'lucky']"
FLPdCdpKpku,gray papaya better cheaper,neutral,"['gray', 'cheaper']",['better'],"['s: gray', 'cheaper']"
35l0t4NlWMm,hay quá,positive,"[""ay quá' in vietnamese can be translated as 'so beautiful' in english.""]",['**'],['**']
L600mdt81YY,thanks much pointing can’t grandma you’re asian please watch street food video without someone talking race millionth time it’s boring never used pay attention it’s anyone talk seems kind racist me…,negative,[''],[':'],['']
wSOYhAE07wI,love life 🤤,positive,"[': love', 'life']","['love', 'life']",['🤤']
FnxTgYsZc6v,wtf hrefhttpswwwyoutubecomwatchvcyxcoubnata,neutral,['wtf'],['none'],"['href', 'httpswwwyoutubecomwatchvcyxcoubnata']"
fwTFdi9-2ak,thank sirbraristocrat sitting,positive,['ank'],['ank'],['hank']
cGZXczpLZCx,climate nut’s shut wood fired oven,negative,"['nut', 'shut']","[': nut', 'shut']","['climate', 'wood fired oven']"
wVJFqJvdXee,big apple eaten again…,neutral,"['big', 'eaten']",['none'],"['apple', 'again']"
75dFsWQs9bB,really enjoyed i’m harlem,positive,[':'],[''],['']
rOvtVIoqGsE,start hrefhttpswwwyoutubecomwatchvhpcrqiaorta,neutral,['none'],['start'],"['href', 'com', 'watch', 'v', 'hpcrqiaorta']"
ODTt5Y9ySLc,excelente playlist valeu,positive,[':'],[''],['']
ZtgXQbHoZ6Y,p diddy mention didn’t age well 😂,neutral,"[""mention didn't age well""]",['😂 (laughing emoji)'],['p diddy']
xmHNjP7YpkZ,wonder one kid decided push cabbage rest life,negative,['push'],[': push'],"['wonder', 'one', 'kid', 'decided', 'cabbage', 'rest', 'life']"
eRMPVbc80Q5,new favorite show eat thing,positive,"[': new', 'favorite', 'show']","['new', 'favorite', 'show']","['eat', 'thing']"
g4o6TmLTpK9,california debauchery,negative,['debauchery'],[': debauchery'],['california']
0TveSzx3H7O,yo pasta looked super official mean genius free food concept make really delicious filling importantly cheap food like ground meat pasta customer keep drinking turn making moneybredit talk much fun tim lol ive wacthed video already one make hit subscribe button really great suggestion one thats coming life long born raised native new yorker way brooklynso consider validated approved lolol,positive,"[': super', 'official', 'genius', 'delicious', 'filling', 'cheap', 'great', 'coming', 'life-long', 'validated', 'approved']","['super', 'official', 'genius', 'delicious', 'filling', 'cheap', 'great', 'coming', 'life-long', 'validated', 'approved']","['yo', 'pasta', 'mean', 'like', 'customer', 'keep', 'drinking', 'turn', 'making', 'money', 'talk', 'much', 'fun', 'tim', 'lol', 'video', 'hit', 'subscribe', 'suggestion', 'one', ""that's"", 'native', 'new', 'yorker', 'way', 'brooklyn', 'so', 'considered', 'lolol']"
h5k01B_M87c,nice dude,positive,[': nice'],['nice'],['dude']
COhEmBxsDkH,without family great,neutral,['without'],['great'],['family']
LADRCoQieUX,shout carnal,neutral,['shout'],['carnal'],['s: shout']
3LplSsyEOf1,charming get lovely thank,positive,"[': charming', 'lovely', 'thank']","['charming', 'lovely', 'thank']",['get']
CLIsLgp35Xj,eat food song name,neutral,['none'],"['eat', 'food', 'song', 'name']",['none']
rOvtVIoqGsE,im wondering code enforcement food law etc health dept show fine shake wondering like wife make sauce home thank would love get burger,neutral,['fine'],['love'],"['wondering', 'code enforcement', 'food law', 'health dept', 'shake', 'wife', 'make', 'sauce', 'home', 'burger']"
iNQx0BmUyQx,shouldnt called little china town,negative,['called'],[': called'],"['little', 'china town']"
ey2cU49nQW6,hamburger enough reason want visit new york would love try,positive,"[': love', 'try']","['love', 'try']","['hamburger', 'reason', 'visit', 'new york']"
plOQeQ3Go2i,family sometime trip like,neutral,['none'],"['family', 'trip']","['sometime', 'like']"
cjqAySlZmwd,america get salmon fromcanada norway,negative,[''],[':'],['']
YjFLFRczKtm,disappointingly basic choice pizza shop,negative,"['disappointingly', 'basic']","[': disappointingly', 'basic']","['choice', 'pizza shop']"
3Jj840LV_IM,use genever instead old tom gin maybe half genever half london dry,neutral,['none'],"['genever', 'london dry']","['use', 'instead', 'old tom gin', 'maybe', 'half']"
vZSJgKKYnZA,one thing new york folk it’s place slip make mistake wolf stay ready,neutral,"['mistake', 'slip', 'wolf']","['make', 'ready']","['one', 'thing', 'new york', 'folk', ""it's"", 'place', 'stay', 'ready']"
FOvnk7-u7zw,sarahfunky couldnt hear name last two place,negative,"[""couldn't"", 'hear']","["": couldn't"", 'hear']","['sarahfunky', 'name', 'last', 'two', 'place']"
lxx8AmGHlu8,grew nyc moved texas wife back may visit family staying moxys downtown searching place serve wing bbq mexican food love video,neutral,['none'],"['love', 'visit', 'family', 'serving']","['grew', 'nyc', 'moved', 'texas', 'wife', 'back', 'may', 'staying', ""moxy's"", 'downtown', 'searching', 'place', 'wings', 'bbq', 'mexican food', 'video']"
kvCaTrUPyH5,victor interesting person featured show far,positive,"[': interesting', 'featured']","['interesting', 'featured']","['victor', 'person', 'show', 'far']"
QOZX4HK2ilE,rainbow cookie use color italian flag also cucina italian pronounced coocheenah fyi,positive,[':'],[''],['']
pCddEgU0R8E,thanks brett got list go get back ny next month hope youre enjoying youre time philippine see around man,neutral,[''],[''],['']
Z910JM4zG3m,also legend,positive,[': legend'],['legend'],['also']
