video_id,title,description,published_at,channel_title,view_count,like_count,dislike_count,comment_count
1p6fefue6FM,Exploring New Restaurants in NYC #11,Iconic NYC Foods You Have to Try. Discover the best places to eat and drink in New York City.,2020-06-18T18:52:30,Pratt-Welch,324897,1861,781,655
CQ2OvF43UE6,Exploring New Restaurants in NYC #12,Top 5 Dessert Spots in New York City. Discover the best places to eat and drink in New York City.,2022-09-16T05:43:50,Jones-Liu,491836,4335,68,436
7F7wcHzEgYB,Exploring New Restaurants in NYC #13,Top 10 Steakhouses in NYC. Discover the best places to eat and drink in New York City.,2023-03-19T10:25:00,Hall-Hall,32924,5134,130,359
9ZNFBjQ4tyl,Exploring New Restaurants in NYC #14,Best Hidden Gem Restaurants in New York City. Discover the best places to eat and drink in New York City.,2023-11-29T11:30:32,Powell-Reilly,357385,3453,74,754
VnbmpdzXH79,Exploring New Restaurants in NYC #15,New York City's Best Brunch Spots. Discover the best places to eat and drink in New York City.,2021-06-06T21:41:39,"Moran, Williamson and Sandoval",489754,4938,313,555
QxTlXcm5OiD,Exploring New Restaurants in NYC #16,New York City's Best Brunch Spots. Discover the best places to eat and drink in New York City.,2022-04-14T18:15:01,"Thompson, Arnold and Owens",208387,3940,139,598
0DzEf98AznJ,Exploring New Restaurants in NYC #17,Chinatown Food Tour: Best Eats in NYC. Discover the best places to eat and drink in New York City.,2021-01-27T01:30:23,Lewis-Oliver,275742,1163,713,236
wVnYutTpxqH,Exploring New Restaurants in NYC #18,NYC's Best Sushi Restaurants. Discover the best places to eat and drink in New York City.,2022-02-20T22:23:41,"Williams, Bradley and Cardenas",39135,9259,644,757
bKK81gaNcMD,Exploring New Restaurants in NYC #19,NYC's Best Seafood Restaurants. Discover the best places to eat and drink in New York City.,2021-07-16T05:48:48,"Brooks, Moore and Lawson",367268,998,999,580
xjjvleBKbf2,Exploring New Restaurants in NYC #20,Chinatown Food Tour: Best Eats in NYC. Discover the best places to eat and drink in New York City.,2022-12-12T07:49:20,Stevens-Henry,486310,9305,951,233
qZ2sUl6Olt7,Exploring New Restaurants in NYC #21,Michelin Star Restaurants in NYC. Discover the best places to eat and drink in New York City.,2020-09-18T08:41:46,Miles Ltd,328760,5086,497,627
gRgdRlqBo0W,Exploring New Restaurants in NYC #22,Top 10 Must-Try Foods in NYC. Discover the best places to eat and drink in New York City.,2022-06-08T07:26:54,"Evans, Nicholson and Paul",476623,2691,243,293
mTOZUzVgFw3,Exploring New Restaurants in NYC #23,Top 10 Steakhouses in NYC. Discover the best places to eat and drink in New York City.,2021-10-30T08:43:10,White Ltd,88790,6336,680,829
1XCCtXZG97j,Exploring New Restaurants in NYC #24,Luxury Dining in NYC: Top 5 Spots. Discover the best places to eat and drink in New York City.,2020-08-10T13:32:34,Goodman Ltd,270323,1613,740,560
hZkuzR7gkkg,Exploring New Restaurants in NYC #25,NYC's Best Bagels: Where to Find Them. Discover the best places to eat and drink in New York City.,2021-10-08T10:44:17,Rosario PLC,205452,1628,134,139
UAWODeiZBq0,Exploring New Restaurants in NYC #26,Chinatown Food Tour: Best Eats in NYC. Discover the best places to eat and drink in New York City.,2020-10-07T16:17:03,Hansen Group,409257,9773,724,786
pvcPA9FEyVb,Exploring New Restaurants in NYC #27,NYC's Best Seafood Restaurants. Discover the best places to eat and drink in New York City.,2020-11-25T01:29:06,"Beck, Turner and Miller",365842,3476,283,561
KqhubYXxswM,Exploring New Restaurants in NYC #28,Brooklyn's Best Restaurants and Cafes. Discover the best places to eat and drink in New York City.,2022-03-02T21:47:13,Woods LLC,490128,8896,231,339
17BEOt8Nhbp,Exploring New Restaurants in NYC #29,Foodie Guide to NYC's Best Pizza. Discover the best places to eat and drink in New York City.,2021-06-14T10:32:23,"Schroeder, Wood and Morris",7427,5683,11,121
tzreHIkm5uP,Exploring New Restaurants in NYC #30,Best Bars in NYC for Craft Cocktails. Discover the best places to eat and drink in New York City.,2021-09-01T20:24:50,Cole-Nguyen,312876,5976,628,761
vSKfqULr0LU,Exploring New Restaurants in NYC #31,Best Bars in NYC for Craft Cocktails. Discover the best places to eat and drink in New York City.,2022-04-29T22:29:36,Johnson and Sons,485425,7348,659,631
B4kPR3djzZF,Exploring New Restaurants in NYC #32,Top 5 Dessert Spots in New York City. Discover the best places to eat and drink in New York City.,2022-10-02T21:53:00,"Brown, Williams and Chavez",225269,4832,267,382
8owABYup8nP,Exploring New Restaurants in NYC #33,Iconic NYC Foods You Have to Try. Discover the best places to eat and drink in New York City.,2022-09-21T16:03:06,Diaz-Diaz,237701,5021,735,446
b9K5RpcUxjD,Exploring New Restaurants in NYC #34,Best Hidden Gem Restaurants in New York City. Discover the best places to eat and drink in New York City.,2022-12-17T19:43:21,"Rodriguez, Harvey and Young",424756,6789,206,762
PepuvtXKhIh,Exploring New Restaurants in NYC #35,Chinatown Food Tour: Best Eats in NYC. Discover the best places to eat and drink in New York City.,2022-11-30T22:59:28,Hammond-Johnson,185158,8320,348,307
Mujdx3deIzw,Exploring New Restaurants in NYC #36,Brooklyn's Best Restaurants and Cafes. Discover the best places to eat and drink in New York City.,2021-10-10T02:45:09,Raymond Inc,323738,2198,595,210
duUaHHkrUJF,Exploring New Restaurants in NYC #37,Top 10 Steakhouses in NYC. Discover the best places to eat and drink in New York City.,2020-05-07T05:20:23,Kidd and Sons,395198,63,789,58
TffV9ShEz6g,Exploring New Restaurants in NYC #38,Brooklyn's Best Restaurants and Cafes. Discover the best places to eat and drink in New York City.,2023-01-11T23:34:19,Bruce-Thomas,176534,6982,408,278
r7tWONm2waX,Exploring New Restaurants in NYC #39,Ultimate Guide to NYC Food Trucks. Discover the best places to eat and drink in New York City.,2023-06-11T01:20:00,Howard-Carrillo,486874,8049,861,991
fIJeDnBO30P,Exploring New Restaurants in NYC #40,Top 10 Must-Try Foods in NYC. Discover the best places to eat and drink in New York City.,2020-04-21T21:25:12,Hansen-Holt,355765,9400,310,136
yZNlAoN5PPH,Exploring New Restaurants in NYC #41,NYC Street Food Tour: Best Eats in the City. Discover the best places to eat and drink in New York City.,2023-03-22T02:53:50,Rivera-Bailey,161932,5063,793,700
OY88cBDwxKO,Exploring New Restaurants in NYC #42,NYC's Best Seafood Restaurants. Discover the best places to eat and drink in New York City.,2020-05-30T10:11:28,Ramos and Sons,419361,4260,517,1000
h2qX62kikLo,Exploring New Restaurants in NYC #43,Ultimate Guide to NYC Food Trucks. Discover the best places to eat and drink in New York City.,2023-09-10T05:36:16,"Sullivan, Smith and Stone",361348,1359,607,158
Bs63a97VDdX,Exploring New Restaurants in NYC #44,Luxury Dining in NYC: Top 5 Spots. Discover the best places to eat and drink in New York City.,2021-09-16T18:28:52,Robinson Ltd,66623,7159,615,972
Zw3pM5pFGkl,Exploring New Restaurants in NYC #45,Best Rooftop Bars in New York City. Discover the best places to eat and drink in New York City.,2023-09-29T17:43:16,"Moore, Williams and Myers",399552,9595,886,224
aRUnv8xUoKX,Exploring New Restaurants in NYC #46,NYC's Best Sushi Restaurants. Discover the best places to eat and drink in New York City.,2021-01-16T20:17:08,Roberts and Sons,146117,9406,813,309
e85EcOzVqNk,Exploring New Restaurants in NYC #47,Brooklyn's Best Restaurants and Cafes. Discover the best places to eat and drink in New York City.,2022-12-12T15:02:59,"Townsend, Delgado and Sandoval",59867,2383,543,707
s0A4IFsACzC,Exploring New Restaurants in NYC #48,Foodie Guide to NYC's Best Pizza. Discover the best places to eat and drink in New York City.,2020-01-08T00:23:26,"Armstrong, Cain and Schultz",319543,5180,826,285
rtLD1FmFoGC,Exploring New Restaurants in NYC #49,Top 10 Must-Try Foods in NYC. Discover the best places to eat and drink in New York City.,2021-03-22T02:07:57,Thompson Inc,330410,7760,202,559
2XD9pjoXnmU,Exploring New Restaurants in NYC #50,NYC's Best Sushi Restaurants. Discover the best places to eat and drink in New York City.,2023-08-07T20:27:20,"Smith, Adams and Vargas",347831,8856,347,407
EVjI0C30b3e,Exploring New Restaurants in NYC #51,Vegan and Vegetarian Restaurants in NYC. Discover the best places to eat and drink in New York City.,2020-12-02T03:26:12,Miller-Ward,433150,8725,55,13
WhcJi8TLW7U,Exploring New Restaurants in NYC #52,Michelin Star Restaurants in NYC. Discover the best places to eat and drink in New York City.,2023-03-07T05:38:12,Contreras and Sons,322406,6254,350,365
rsDqHolsRzj,Exploring New Restaurants in NYC #53,Best Rooftop Bars in New York City. Discover the best places to eat and drink in New York City.,2024-07-05T16:52:37,Cochran-Walsh,197432,8886,617,345
Hum0OTqaUT5,Exploring New Restaurants in NYC #54,Best Bars in NYC for Craft Cocktails. Discover the best places to eat and drink in New York City.,2021-09-21T00:37:05,Blake-Williams,397452,7254,422,995
3xhjhpVGvQ9,Exploring New Restaurants in NYC #55,Affordable Eats in NYC: Top Picks. Discover the best places to eat and drink in New York City.,2022-07-25T11:53:23,"Fischer, Hogan and Macias",135795,8848,746,450
FCt1ljX0sw1,Exploring New Restaurants in NYC #56,NYC's Best Sushi Restaurants. Discover the best places to eat and drink in New York City.,2021-01-13T05:17:20,"Garcia, Mcdaniel and Benson",480247,3626,195,535
Qrf7gyT5M6b,Exploring New Restaurants in NYC #57,Affordable Eats in NYC: Top Picks. Discover the best places to eat and drink in New York City.,2021-08-24T10:55:05,"Reid, Garza and Moore",390707,1859,156,414
BZL30JbmR57,Exploring New Restaurants in NYC #58,Brooklyn's Best Restaurants and Cafes. Discover the best places to eat and drink in New York City.,2021-12-12T21:26:34,Buck-Marks,116603,7778,953,431
WlQv5uLVBpz,Exploring New Restaurants in NYC #59,Affordable Eats in NYC: Top Picks. Discover the best places to eat and drink in New York City.,2020-08-13T19:02:33,Lowe Inc,22308,4526,111,291
lxTS2N7JZD5,Exploring New Restaurants in NYC #60,Ultimate Guide to NYC Food Trucks. Discover the best places to eat and drink in New York City.,2021-04-23T03:41:09,"Keller, Williams and Cook",33629,2890,992,988
xHqmSTkdnMP,Exploring New Restaurants in NYC #61,Luxury Dining in NYC: Top 5 Spots. Discover the best places to eat and drink in New York City.,2024-06-17T03:21:13,"Taylor, Johnson and Mcmillan",291027,183,851,570
NOPwaMTM4RT,Exploring New Restaurants in NYC #62,Top 10 Must-Try Foods in NYC. Discover the best places to eat and drink in New York City.,2023-12-06T13:50:49,"Stout, Thomas and Mitchell",41855,9178,775,953
udFuQGEu4PW,Exploring New Restaurants in NYC #63,Michelin Star Restaurants in NYC. Discover the best places to eat and drink in New York City.,2023-08-24T16:15:00,Simmons-Gomez,187839,7932,567,867
NYnGkVuCGAk,Exploring New Restaurants in NYC #64,Luxury Dining in NYC: Top 5 Spots. Discover the best places to eat and drink in New York City.,2023-05-13T02:28:16,Gonzalez Ltd,23136,8896,104,459
GsSBSYIKbsV,Exploring New Restaurants in NYC #65,New York City's Best Brunch Spots. Discover the best places to eat and drink in New York City.,2020-04-29T02:10:08,Sosa-Bond,495355,3015,38,219
EHE72Z73x24,Exploring New Restaurants in NYC #66,Best Bars in NYC for Craft Cocktails. Discover the best places to eat and drink in New York City.,2024-04-12T05:06:44,"Anderson, Blackburn and Daugherty",431630,3953,26,671
NAoRq8uuw1n,Exploring New Restaurants in NYC #67,Foodie Guide to NYC's Best Pizza. Discover the best places to eat and drink in New York City.,2020-02-27T04:02:16,"Davis, Scott and Deleon",57501,6721,858,385
E4YQyMS0nGp,Exploring New Restaurants in NYC #68,Brooklyn's Best Restaurants and Cafes. Discover the best places to eat and drink in New York City.,2023-07-01T20:28:18,Small LLC,121922,2910,805,543
LvrCI1PHU43,Exploring New Restaurants in NYC #69,Top 10 Must-Try Foods in NYC. Discover the best places to eat and drink in New York City.,2022-12-15T01:23:25,Wright Ltd,435299,4329,272,191
TPzTu4PFV2l,Exploring New Restaurants in NYC #70,Top 10 Must-Try Foods in NYC. Discover the best places to eat and drink in New York City.,2022-05-26T23:30:55,Hamilton-Martin,216615,640,860,597
krC19VYVIFv,Exploring New Restaurants in NYC #71,Top 5 Dessert Spots in New York City. Discover the best places to eat and drink in New York City.,2020-08-15T04:57:11,Phillips LLC,127778,5611,496,407
FptaEjEP9fY,Exploring New Restaurants in NYC #72,Affordable Eats in NYC: Top Picks. Discover the best places to eat and drink in New York City.,2022-12-21T19:08:54,"Williams, Austin and Fisher",322320,832,721,324
5mON0EcdXM3,Exploring New Restaurants in NYC #73,Best Rooftop Bars in New York City. Discover the best places to eat and drink in New York City.,2023-01-08T14:25:08,Romero Ltd,212536,1948,934,659
fc2znUkKjGm,Exploring New Restaurants in NYC #74,Luxury Dining in NYC: Top 5 Spots. Discover the best places to eat and drink in New York City.,2023-12-19T18:39:48,Hernandez-Reed,329853,8672,415,424
h9fzAvoS5ys,Exploring New Restaurants in NYC #75,Best Bars in NYC for Craft Cocktails. Discover the best places to eat and drink in New York City.,2020-10-18T01:48:33,"Edwards, Ferguson and Kelley",15965,2639,497,415
ptAIo7nFOI3,Exploring New Restaurants in NYC #76,Luxury Dining in NYC: Top 5 Spots. Discover the best places to eat and drink in New York City.,2022-07-11T02:49:21,"Pacheco, Hunt and Wheeler",1591,2621,126,559
98QPT3rKXtP,Exploring New Restaurants in NYC #77,Iconic NYC Foods You Have to Try. Discover the best places to eat and drink in New York City.,2024-05-19T09:36:21,"King, Morales and Moore",24041,197,388,668
F7wTOxXGMpj,Exploring New Restaurants in NYC #78,Chinatown Food Tour: Best Eats in NYC. Discover the best places to eat and drink in New York City.,2020-10-31T12:04:06,Payne PLC,81028,3616,210,408
V5627m1z4Yo,Exploring New Restaurants in NYC #79,Affordable Eats in NYC: Top Picks. Discover the best places to eat and drink in New York City.,2021-10-02T02:20:13,Rubio-Hoover,31853,5722,304,483
5Cb0DIIIPvL,Exploring New Restaurants in NYC #80,NYC's Best Sushi Restaurants. Discover the best places to eat and drink in New York City.,2021-02-09T11:23:41,Lawson and Sons,311844,5201,158,235
Ikd1bHEisHR,Exploring New Restaurants in NYC #81,New York City's Best Brunch Spots. Discover the best places to eat and drink in New York City.,2020-07-15T13:01:24,"Moore, Ward and Contreras",222777,8242,231,988
NMbwCSiz4Yy,Exploring New Restaurants in NYC #82,Michelin Star Restaurants in NYC. Discover the best places to eat and drink in New York City.,2020-09-01T10:22:40,"Salinas, Moreno and Stokes",143092,9922,181,835
ofFtWWUldaB,Exploring New Restaurants in NYC #83,NYC's Best Bagels: Where to Find Them. Discover the best places to eat and drink in New York City.,2023-02-15T04:24:09,Montgomery and Sons,290964,4876,966,271
y4EM5JL1xNc,Exploring New Restaurants in NYC #84,Best Hidden Gem Restaurants in New York City. Discover the best places to eat and drink in New York City.,2023-09-06T21:33:29,Parker-Pugh,398188,4282,532,208
T2u9lGgqUsX,Exploring New Restaurants in NYC #85,Chinatown Food Tour: Best Eats in NYC. Discover the best places to eat and drink in New York City.,2022-12-21T03:08:00,"Berg, Clark and Mendoza",470398,1601,497,234
Q4e85lTjIXt,Exploring New Restaurants in NYC #86,Brooklyn's Best Restaurants and Cafes. Discover the best places to eat and drink in New York City.,2022-12-20T10:27:30,Arellano PLC,171519,3148,556,356
Z4yQPNKcpDC,Exploring New Restaurants in NYC #87,Brooklyn's Best Restaurants and Cafes. Discover the best places to eat and drink in New York City.,2021-06-28T07:45:22,Chavez Ltd,496994,5667,160,868
gSbrxGfdwHB,Exploring New Restaurants in NYC #88,Ultimate Guide to NYC Food Trucks. Discover the best places to eat and drink in New York City.,2022-03-01T02:56:53,Wilson Group,133897,2,710,643
EVLHmit3i9b,Exploring New Restaurants in NYC #89,NYC's Best Bagels: Where to Find Them. Discover the best places to eat and drink in New York City.,2022-09-18T05:46:59,Barber PLC,442220,6760,403,465
qpShMSRG4wR,Exploring New Restaurants in NYC #90,Luxury Dining in NYC: Top 5 Spots. Discover the best places to eat and drink in New York City.,2021-12-08T18:23:36,Miles-Morales,412429,5548,130,115
V9kDFzikOjl,Exploring New Restaurants in NYC #91,NYC's Best Seafood Restaurants. Discover the best places to eat and drink in New York City.,2022-09-14T15:58:22,Kane-Schroeder,230448,7116,187,302
vw20k4AcvGx,Exploring New Restaurants in NYC #92,NYC's Best Sushi Restaurants. Discover the best places to eat and drink in New York City.,2024-04-20T14:19:43,Moore-Zhang,407128,8775,114,350
YT6y2a1wFhs,Exploring New Restaurants in NYC #93,Michelin Star Restaurants in NYC. Discover the best places to eat and drink in New York City.,2023-10-31T02:47:19,"Harrell, Cox and Lopez",489329,9532,191,234
pi6s6vrS1BM,Exploring New Restaurants in NYC #94,Top 10 Steakhouses in NYC. Discover the best places to eat and drink in New York City.,2022-08-24T07:07:02,"Thompson, Green and Smith",456057,5353,416,125
FczRjMYBAc0,Exploring New Restaurants in NYC #95,Foodie Guide to NYC's Best Pizza. Discover the best places to eat and drink in New York City.,2020-06-26T19:05:35,Ford Group,370665,724,891,150
Ay44rsoVvyP,Exploring New Restaurants in NYC #96,Brooklyn's Best Restaurants and Cafes. Discover the best places to eat and drink in New York City.,2022-08-08T18:25:46,"Flynn, Drake and Sherman",142119,943,362,767
pvo7hqOYEMZ,Exploring New Restaurants in NYC #97,New York City's Best Brunch Spots. Discover the best places to eat and drink in New York City.,2022-09-18T12:41:08,"Powers, Yang and Fleming",313661,285,564,616
7eXQRLHuyxP,Exploring New Restaurants in NYC #98,Affordable Eats in NYC: Top Picks. Discover the best places to eat and drink in New York City.,2023-05-14T11:39:24,Hunter-Jones,321406,118,59,927
tZBUPN1l5oW,Exploring New Restaurants in NYC #99,Chinatown Food Tour: Best Eats in NYC. Discover the best places to eat and drink in New York City.,2023-06-13T11:43:43,Wilson-Mendez,314405,2100,94,586
DNRgt3jLlY4,Exploring New Restaurants in NYC #100,Luxury Dining in NYC: Top 5 Spots. Discover the best places to eat and drink in New York City.,2024-02-17T07:00:57,Campbell Ltd,335056,3137,901,608
pAi2s88qrFX,Exploring New Restaurants in NYC #101,Affordable Eats in NYC: Top Picks. Discover the best places to eat and drink in New York City.,2021-09-01T09:16:18,Cooper-Young,140256,8271,910,656
dVIRLirt3hs,Exploring New Restaurants in NYC #102,Top 10 Must-Try Foods in NYC. Discover the best places to eat and drink in New York City.,2022-08-22T15:15:45,"Henderson, Nelson and Morrison",227652,7737,953,547
5XyMetxkMR7,Exploring New Restaurants in NYC #103,NYC's Best Seafood Restaurants. Discover the best places to eat and drink in New York City.,2021-06-11T14:25:21,Allen-Evans,134356,8733,318,610
EPFEAoFGdJy,Exploring New Restaurants in NYC #104,Top 5 Dessert Spots in New York City. Discover the best places to eat and drink in New York City.,2024-03-05T08:12:34,"Pruitt, Acosta and Le",77126,8672,511,756
cSclSOQVfvU,Exploring New Restaurants in NYC #105,Best Rooftop Bars in New York City. Discover the best places to eat and drink in New York City.,2024-03-11T19:02:59,Deleon-Williams,322926,177,399,517
IpigsSMG7FF,Exploring New Restaurants in NYC #106,Luxury Dining in NYC: Top 5 Spots. Discover the best places to eat and drink in New York City.,2022-05-12T13:51:42,"Mullen, Mcknight and Jackson",418650,1700,219,647
vH90gqvRhWy,Exploring New Restaurants in NYC #107,Ultimate Guide to NYC Food Trucks. Discover the best places to eat and drink in New York City.,2021-09-06T01:43:47,Shields Group,295726,9779,645,454
3i7wEt5QFjH,Exploring New Restaurants in NYC #108,Brooklyn's Best Restaurants and Cafes. Discover the best places to eat and drink in New York City.,2021-09-02T23:48:42,Carson and Sons,408707,6010,899,321
q0aoW8CC4U4,Exploring New Restaurants in NYC #109,Top 10 Steakhouses in NYC. Discover the best places to eat and drink in New York City.,2021-11-15T02:37:51,"Garcia, Mayo and Thompson",348545,7764,738,597
eLt06tolgDm,Exploring New Restaurants in NYC #110,Vegan and Vegetarian Restaurants in NYC. Discover the best places to eat and drink in New York City.,2023-05-02T00:50:10,Porter LLC,259836,2463,976,223
6IYZoSDIqH4,Exploring New Restaurants in NYC #111,Ultimate Guide to NYC Food Trucks. Discover the best places to eat and drink in New York City.,2024-01-09T23:00:16,"Pearson, Austin and Cain",148961,6783,907,672
GBeI124h91d,Exploring New Restaurants in NYC #112,NYC's Best Seafood Restaurants. Discover the best places to eat and drink in New York City.,2020-06-22T23:20:08,Harrison and Sons,346363,8996,164,876
B4u10tJGnCa,Exploring New Restaurants in NYC #113,NYC Street Food Tour: Best Eats in the City. Discover the best places to eat and drink in New York City.,2023-08-28T12:26:06,Mcneil Ltd,207448,2914,861,389
X379kxxeJno,Exploring New Restaurants in NYC #114,NYC's Best Sushi Restaurants. Discover the best places to eat and drink in New York City.,2022-10-03T23:28:24,"Davis, Taylor and Barnett",217708,515,488,967
u9ADE0CZV6K,Exploring New Restaurants in NYC #115,Vegan and Vegetarian Restaurants in NYC. Discover the best places to eat and drink in New York City.,2020-01-21T19:47:42,"Davenport, Taylor and Long",138727,1913,718,436
VeFJU2WpfyM,Exploring New Restaurants in NYC #116,Best Hidden Gem Restaurants in New York City. Discover the best places to eat and drink in New York City.,2023-11-14T02:17:07,"Tran, Forbes and Wilson",309280,9139,766,580
ULiP7c8p8WU,Exploring New Restaurants in NYC #117,Best Hidden Gem Restaurants in New York City. Discover the best places to eat and drink in New York City.,2022-05-29T03:29:41,Mason-Lucas,467552,9417,20,828
g6wyMV1K3rw,Exploring New Restaurants in NYC #118,Top 10 Must-Try Foods in NYC. Discover the best places to eat and drink in New York City.,2020-08-26T08:49:29,Williams LLC,395339,9601,334,530
2nsvpJiilAp,Exploring New Restaurants in NYC #119,Best Bars in NYC for Craft Cocktails. Discover the best places to eat and drink in New York City.,2020-09-29T01:25:41,Morgan-Roberts,291471,1110,347,21
zj3dafL7HfO,Exploring New Restaurants in NYC #120,Foodie Guide to NYC's Best Pizza. Discover the best places to eat and drink in New York City.,2021-04-09T13:37:33,"Lee, Thomas and Smith",326058,4473,305,632
58YhfzCzDBp,Exploring New Restaurants in NYC #121,Chinatown Food Tour: Best Eats in NYC. Discover the best places to eat and drink in New York City.,2024-05-24T17:46:53,Thomas and Sons,101186,7218,360,954
Z8ycLpnxO26,Exploring New Restaurants in NYC #122,Best Rooftop Bars in New York City. Discover the best places to eat and drink in New York City.,2022-05-04T14:23:59,"Warren, Hoffman and Wolf",414480,712,82,117
RxlWMqMrH5a,Exploring New Restaurants in NYC #123,Chinatown Food Tour: Best Eats in NYC. Discover the best places to eat and drink in New York City.,2024-05-09T00:19:40,Barron-Hines,208832,8073,382,79
mSgXXGn7PK0,Exploring New Restaurants in NYC #124,Ultimate Guide to NYC Food Trucks. Discover the best places to eat and drink in New York City.,2020-07-05T14:05:17,"Mathews, King and Sparks",359511,164,84,696
znfW88W9lFK,Exploring New Restaurants in NYC #125,Chinatown Food Tour: Best Eats in NYC. Discover the best places to eat and drink in New York City.,2020-08-03T22:22:05,Thomas Inc,10763,6377,787,267
pQVD1UdJ7AP,Exploring New Restaurants in NYC #126,Iconic NYC Foods You Have to Try. Discover the best places to eat and drink in New York City.,2022-05-12T17:37:38,"Simmons, Reyes and Norris",285588,8557,855,369
EwjNd5mFKNv,Exploring New Restaurants in NYC #127,NYC's Best Seafood Restaurants. Discover the best places to eat and drink in New York City.,2022-05-29T03:45:15,Bryant Inc,201897,6145,466,776
O7MXkFTGOb4,Exploring New Restaurants in NYC #128,NYC's Best Seafood Restaurants. Discover the best places to eat and drink in New York City.,2020-06-02T00:15:17,"Berry, Harris and Haynes",302433,4950,697,545
WL2IHpo6ApY,Exploring New Restaurants in NYC #129,Best Rooftop Bars in New York City. Discover the best places to eat and drink in New York City.,2023-08-24T02:09:24,"Miller, Underwood and Hansen",250123,7145,78,501
SmGoJyPVnNW,Exploring New Restaurants in NYC #130,Luxury Dining in NYC: Top 5 Spots. Discover the best places to eat and drink in New York City.,2021-10-04T05:12:28,Quinn-Jones,417803,192,81,774
s6Os22iJdYF,Exploring New Restaurants in NYC #131,NYC Street Food Tour: Best Eats in the City. Discover the best places to eat and drink in New York City.,2023-07-24T00:39:46,Roberson and Sons,326633,4369,414,693
xGWxFdyT5dE,Exploring New Restaurants in NYC #132,Best Hidden Gem Restaurants in New York City. Discover the best places to eat and drink in New York City.,2020-11-05T01:51:47,Williams Ltd,171456,1447,264,314
Yku7KvvacD8,Exploring New Restaurants in NYC #133,Top 5 Dessert Spots in New York City. Discover the best places to eat and drink in New York City.,2020-08-03T14:25:05,Jones-Edwards,36287,9625,191,334
I3TrojPIozq,Exploring New Restaurants in NYC #134,Foodie Guide to NYC's Best Pizza. Discover the best places to eat and drink in New York City.,2021-08-27T19:46:56,Payne-Williams,237267,9204,428,100
3dLkMHQzPQJ,Exploring New Restaurants in NYC #135,Brooklyn's Best Restaurants and Cafes. Discover the best places to eat and drink in New York City.,2024-04-16T01:48:26,Quinn-Adams,341682,5633,265,669
PidashyfUDK,Exploring New Restaurants in NYC #136,Chinatown Food Tour: Best Eats in NYC. Discover the best places to eat and drink in New York City.,2021-05-12T00:58:41,"Snyder, Pearson and Moss",87987,9342,110,647
2vONZS23AbF,Exploring New Restaurants in NYC #137,NYC's Best Seafood Restaurants. Discover the best places to eat and drink in New York City.,2023-12-14T13:38:15,"Jones, Hodge and Moore",5085,4669,67,682
fwjOjt3stFf,Exploring New Restaurants in NYC #138,NYC's Best Bagels: Where to Find Them. Discover the best places to eat and drink in New York City.,2023-07-18T04:20:12,"Caldwell, Myers and Hill",320386,5560,851,353
V6V0IXmXtj3,Exploring New Restaurants in NYC #139,NYC Street Food Tour: Best Eats in the City. Discover the best places to eat and drink in New York City.,2022-07-13T00:01:08,Velasquez-Mercado,266975,6445,391,933
oDqN9peEE2V,Exploring New Restaurants in NYC #140,Top 5 Dessert Spots in New York City. Discover the best places to eat and drink in New York City.,2021-01-17T02:53:36,Hernandez-Hudson,490909,6092,513,582
